,Search Engine,Search term,2019-07-02,2019-07-03,2019-07-09,2019-08-05,2019-08-07,2019-08-09,2019-08-12,2019-08-14,2019-08-20
0,google,(not provided),368.0,368.0,368.0,389.0,409.0,372.0,381.0,371.0,346
1,bing,(not provided),3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2
2,baidu,(not set),2.0,2.0,2.0,,,,1.0,1.0,
3,bing,designmind,2.0,2.0,2.0,,1.0,1.0,1.0,,
4,duckduckgo,(not set),2.0,2.0,2.0,5.0,5.0,4.0,2.0,2.0,1
5,bing,amazon,1.0,1.0,1.0,,1.0,1.0,1.0,,
6,bing,cool things to do with power bi,1.0,1.0,1.0,,,,,,
7,bing,creating power BI report template,1.0,1.0,1.0,,,,,,
8,bing,dashboard usuful template free,1.0,1.0,1.0,,,,,,
9,bing,data modelling pattern marco,1.0,1.0,1.0,,,,,,
10,bing,design minds jobs,1.0,1.0,1.0,,,,,,
11,bing,download power bi themes,1.0,1.0,1.0,,,,,,
12,bing,power bi consultant,1.0,1.0,1.0,,,1.0,1.0,1.0,
13,bing,power bi dashboard templates,1.0,1.0,1.0,2.0,2.0,,,,1
14,bing,power bi design template,1.0,1.0,1.0,1.0,,,,,
15,bing,power bi report templates,1.0,1.0,1.0,,,,,,1
16,bing,power bi template,1.0,1.0,1.0,,,,,,
17,bing,power bi template free download,1.0,1.0,1.0,,,,,,
18,bing,power bi templates,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2
19,bing,powerbi download report template,1.0,1.0,1.0,,,,,,
20,bing,powerbi template report,1.0,1.0,1.0,,,,,,
21,bing,refresh schedule power bi,1.0,1.0,1.0,,,,,,
22,bing,report template in power bi,1.0,1.0,1.0,,,,,,
23,bing,things to know about power bi,1.0,1.0,1.0,,,,,,
24,bing,ue cases api master data,1.0,1.0,1.0,,,,,,
25,yahoo,(not provided),,,,2.0,3.0,3.0,5.0,5.0,1
26,bing,Can Power BI do schedules,,,,1.0,1.0,1.0,1.0,,
27,bing,POwer bi how to see the current report theme,,,,1.0,1.0,,,,
28,bing,PowerBI standard report template,,,,1.0,1.0,1.0,,,
29,bing,cool things to do on power bi,,,,1.0,,,,,
30,bing,create a power bi template,,,,1.0,1.0,1.0,,,
31,bing,download power bi dashboard templates,,,,1.0,1.0,1.0,,,
32,bing,how to change templates in powerbi,,,,1.0,1.0,,,,
33,bing,impressive things to do on power bi,,,,1.0,1.0,,,,
34,bing,power bi how to publish desktop report and schdule refresh,,,,1.0,1.0,,,,
35,bing,power bi in a day workshop san francisco,,,,1.0,1.0,,,,
36,bing,power bi report design samples,,,,1.0,1.0,1.0,,,
37,bing,power bi saving report as template,,,,1.0,1.0,,,,
38,bing,power bi standard templates,,,,1.0,1.0,,,,
39,bing,profisee serverless MDM,,,,1.0,1.0,,,,
40,bing,why make power bi templates,,,,1.0,,,,,
41,google,master data,,,,1.0,,1.0,,,
42,bing,free powerbi templates,,,,,1.0,1.0,1.0,,
43,bing,power bi for consultancy,,,,,1.0,1.0,1.0,,
44,bing,power bi style template,,,,,1.0,1.0,1.0,,
45,bing,the data warehouse toolkit ralph kimball 1st,,,,,1.0,1.0,1.0,,
46,bing,export Power bi theme,,,,,,1.0,1.0,1.0,
47,bing,power bi apply style template,,,,,,1.0,1.0,1.0,
48,bing,power bi data modeling star schema,,,,,,1.0,1.0,1.0,
49,bing,power bi report specification template,,,,,,1.0,1.0,1.0,
50,bing,power bi reporting design themes,,,,,,1.0,1.0,1.0,
51,bing,power bi use templates in service,,,,,,1.0,1.0,1.0,
52,bing,scheduled refresh works on power bi desktop but not server,,,,,,1.0,1.0,1.0,
53,bing,"Dashboard in a Day - Nihilent Technologies, Inc. @ Microsoft - San Francisco",,,,,,,1.0,1.0,
54,bing,power bi templates download,,,,,,,1.0,1.0,
55,google,https://www.designmind.com/,,,,,,,,3.0,3
56,bing,MDM interface,,,,,,,,1.0,1
57,bing,free download power bi themes,,,,,,,,1.0,1
58,bing,power bi status report templates,,,,,,,,1.0,1
59,bing,standardized power bi for a company,,,,,,,,1.0,1
60,bing,cool things you can do with power bi,,,,,,,,,1
61,bing,creating templates in power bi,,,,,,,,,1
62,bing,power bi Report theme sample,,,,,,,,,1
63,bing,power bi add multiple custom color templates,,,,,,,,,1
64,bing,power bi themes,,,,,,,,,1
65,bing,profisee mds installation,,,,,,,,,1
66,bing,tabular analysis services and power bi,,,,,,,,,1
67,bing,what you need to know about power bi,,,,,,,,,1
